category,title,author,publisher,year,publication_place,page_count,book_url,image_url
philosophy,Fəlsəfə,Mikayılov Şasəddin,ADPU nəşriyyatı,2024,Bakı,366,https://www.preslib.az/az/elibrary/ebook/9gPKz5Y,https://www.ebooks.az/image/cover/9gPKz5Y
philosophy,Azərbaycan türk fəlsəfi və ictimai fikir tarixi: XIX-XX əsrlər: II cild: II kitab,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2024,Bakı,752,https://www.preslib.az/az/elibrary/ebook/2w4K6pP,https://www.ebooks.az/image/cover/2w4K6pP
philosophy,Azərbaycan türk fəlsəfi və ictimai fikir tarixi: XIX-XX əsrlər: III cild,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2024,Bakı,800,https://www.preslib.az/az/elibrary/ebook/OAeCrj1,https://www.ebooks.az/image/cover/OAeCrj1
philosophy,Övsafül-əşraf və Bist bab dər elmi-üstürlab,Xacə Nəsirəddin Tusi,2023,,Bakı,111,https://www.preslib.az/az/elibrary/ebook/ksfdvnb,https://www.ebooks.az/image/cover/ksfdvnb
philosophy,"Elmi, fəlsəfi idrakın problemləri",Əhmədli Cəmil,Ecoprint,2023,Bakı,426,https://www.preslib.az/az/elibrary/ebook/qsatkzy,https://www.ebooks.az/image/cover/qsatkzy
philosophy,Fəlsəfə və onun kateqoriyaları,Əhmədli Cəmil,Ecoprint,2023,Bakı,763,https://www.preslib.az/az/elibrary/ebook/dpqyexv,https://www.ebooks.az/image/cover/dpqyexv
philosophy,Məqalələr toplusu,,Ecoprint,2023,Bakı,270,https://www.preslib.az/az/elibrary/ebook/rpiseao,https://www.ebooks.az/image/cover/rpiseao
philosophy,"Dərs vəsaitləri, dərslik və proqramlar: I hissə",Əhmədli Cəmil,Ecoprint,2023,Bakı,567,https://www.preslib.az/az/elibrary/ebook/xfvdknl,https://www.ebooks.az/image/cover/xfvdknl
philosophy,Azərbaycan türk fəlsəfi və ictimai fikir tarixi: XIX-XX əsrlər: I cild,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2023,Bakı,784,https://www.preslib.az/az/elibrary/ebook/kuwanso,https://www.ebooks.az/image/cover/kuwanso
philosophy,"Dərs vəsaitləri, dərslik və proqramlar: II hissə",Əhmədli Cəmil,Ecoprint,2023,Bakı,536,https://www.preslib.az/az/elibrary/ebook/zgdsyot,https://www.ebooks.az/image/cover/zgdsyot
philosophy,Erməni milli kimlik psixologiyası və xəstəliyi,Əliyev Zaur Bilal oğlu,Elm və Bilik,2022,Bakı,88,https://www.preslib.az/az/elibrary/ebook/UEpQPSJ,https://www.ebooks.az/image/cover/UEpQPSJ
philosophy,Qarabağın mənəviyyat və fəlsəfə tarixindən səhifələr,Zakirqızı Aytək,Elm və təhsil,2022,Bakı,180,https://www.preslib.az/az/elibrary/ebook/7SQZRY6,https://www.ebooks.az/image/cover/7SQZRY6
philosophy,Azərbaycan türk fəlsəfi və ictimai fikir tarixi: XIX-XX əsrlər: III hissə,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2021,Bakı,684,https://www.preslib.az/az/elibrary/ebook/btrupac,https://www.ebooks.az/image/cover/btrupac
philosophy,Azərbaycanda informasiya cəmiyyətinin inkişafının fəlsəfi problemləri: dil və kommunikasiya,Rüstəmova Afaq Baloğlan qızı,Azəri poliqrafiya,2020,Bakı,170,https://www.preslib.az/az/elibrary/ebook/cqthyxa,https://www.ebooks.az/image/cover/cqthyxa
philosophy,Azərbaycan türk fəlsəfi və ictimai fikir tarixi: XIX-XX əsrlər: II cild: I kitab,Ələkbərli Faiq Qəzənfər oğlu,Elm və təhsil,2020,Bakı,800,https://www.preslib.az/az/elibrary/ebook/oslhafj,https://www.ebooks.az/image/cover/oslhafj
philosophy,Cəmaləddin Əfqaninin sosial-siyasi fəlsəfəsi,Mürşüdlü Qəmər,Ulu,2019,Bakı,141,https://www.preslib.az/az/elibrary/ebook/8v7sx1l4,https://www.ebooks.az/image/cover/8v7sx1l4
philosophy,Kainat və onun inkişaf mərhələləri,Əsədov Adil,Avropa nəşriyyatı,2019,Bakı,240,https://www.preslib.az/az/elibrary/ebook/EeMvPtyi,https://www.ebooks.az/image/cover/EeMvPtyi
philosophy,Biznes etikası və sosial məsuliyyət,"Vəliyev Anar Cümşüd oğlu, Abdullayev Kamil Xaliq oğlu, Mirzəyev Natiq Sərhad oğlu",Bakı Biznes Universiteti,2018,Bakı,241,https://www.preslib.az/az/elibrary/ebook/YEdw2u4,https://www.ebooks.az/image/cover/YEdw2u4
philosophy,"Mənəvi‐estetik dəyərlər: mahiyyəti, tarixi və bu günü",Əsədova Nailə,QHT nəşriyyatı,2017,Bakı,160,https://www.preslib.az/az/elibrary/ebook/O7nHGN6j,https://www.ebooks.az/image/cover/O7nHGN6j
philosophy,Dialoq fəlsəfəsi,Zeynalov Şölət Əlövsət oğlu,Avropa nəşriyyatı,2017,Bakı,304,https://www.preslib.az/az/elibrary/ebook/yXFHI7f,https://www.ebooks.az/image/cover/yXFHI7f
